date,rv,rv_corrected,num_binned_obs
2021-05-31,-2.4134067015606853,-2.397961283196635,25
2021-06-01,-2.4523784546251606,-2.480699279354411,24
2021-06-02,-1.838627238483396,-1.8345836331230732,24
2021-06-03,-2.469424390749352,-2.4303420796802673,30
2021-06-04,-0.8196504116030294,-0.8755027325777532,12
2021-06-05,-0.456242985382546,-0.41006631372372965,34
2021-06-06,-0.711473253115238,-0.6880071822256849,20
2021-06-08,-2.7395406650002907,-2.7098788878806417,12
2021-06-09,-2.7470077189850683,-2.8357670876084695,3
2021-06-10,-2.8939910330646805,-2.8025585116716614,19
2021-06-11,-2.8158762487788014,-2.7741631319167235,33
2021-06-12,-2.694016573419759,-2.6530288437139333,26
2021-06-13,-1.782703857858773,-1.7199843412484395,22
2021-06-14,-2.2600312772922533,-2.219412885427631,9
2021-06-15,-0.8137095454751231,-0.7844889553877642,1
2021-06-16,-1.3298961876563942,-1.4200278567303606,10
2021-06-17,-1.3635233665322686,-1.4008196461788116,17
2021-06-18,-1.3159897865867887,-1.346299926019689,16
2021-06-19,-1.8708676681203276,-1.888512182602968,11
2021-06-20,-1.0678718567504186,-1.0438335039414557,4
2021-06-21,-2.205629188462984,-2.144751657352665,28
2021-06-24,-2.959181749817313,-2.82139903747496,3
2021-06-25,-2.3202306764923852,-2.197348205330096,19
2021-06-26,-1.9147848014900073,-1.8043740729066418,9
2021-06-27,-1.1126549462497448,-1.0512452326906685,27
2021-06-30,0.7194950867456212,0.5770671992529839,8
2021-07-01,0.10751563645533371,0.26514592014012095,5
2021-07-10,-2.330225371762507,-2.2652053164301713,27
2021-07-11,-2.262032523789452,-2.297543429808028,21
2021-07-18,-2.972312268563543,-2.604810566286915,1
2021-07-28,-0.7447983431609848,-0.7665988187482724,33
2021-07-29,-0.8144163856200145,-0.4404206079301144,7
2021-07-30,-0.6381793157898464,-0.9846905564708178,9
2021-07-31,-1.7131801043361037,-2.11017525455287,2
2021-08-02,-2.4309096891997495,-2.4602618718844935,30
2021-08-07,-2.6400090151505275,-2.958106986677767,14
2021-08-13,-1.3446200063530105,-1.2264141151348205,2
2021-08-16,-0.9565007260768867,-0.8640730472749746,2
2021-08-21,-0.5884326303832356,-0.6968388142008751,24
2021-08-22,-0.9676946618910396,-0.9752535854865229,40
2021-08-23,-0.8353097463480914,-0.8529746508193425,40
2021-08-24,-1.6041562681711203,-1.5913904759614383,44
2021-08-25,-0.38548228897590153,-0.4172713550212873,39
2021-08-26,-0.13914626549428738,-0.23107269387976556,36
2021-08-27,0.659646589336133,0.2881506956831262,19
2021-08-29,-1.7061705063047354,-1.840690998818932,33
2021-09-04,-0.2234552647786379,-0.14649640624444313,21
2021-09-16,-1.9425988005936266,-1.6701242078304774,14
