date,rv,rv_corrected,rv_drp,num_binned_obs
2023-07-08,2.1810193707118084,2.185891549364451,3.554028187821374,47
2023-07-10,0.7139312548074599,0.6396085171863597,1.9458237843418447,6
2023-07-11,0.1964217205232793,0.5337266475123885,0.7048156130185124,2
2023-07-12,-0.5430312487485253,-0.33981256311227737,-0.12138307314922159,11
2023-07-14,0.9442320072493432,0.7588001130280673,1.4609028220333897,14
2023-07-15,1.7044999005647523,1.9024589412539494,2.2666534474842415,13
2023-07-16,3.909876439548606,3.913643082970819,4.416086570889339,3
2023-07-19,5.482846172478658,5.389425186076936,6.057632736263825,27
2023-07-21,2.287249536909433,2.239407587726367,3.746790148661656,33
2023-07-22,2.727357240495248,2.6512269671029034,4.303850094358315,21
2023-07-24,2.2620250317607318,2.230525939815889,3.1002985680499595,15
2023-07-27,0.26918793664484575,0.268052397061404,1.035652583182296,39
2023-07-30,2.312804210251162,2.2976465235078622,3.1944378672990226,32
2023-07-31,2.8090205115353415,2.6030340238168277,4.284149786756859,21
2023-08-01,2.861141492008402,2.4293838218635253,18.402119777868336,3
2023-08-02,2.659074142120717,2.733111730538232,3.8485876873190117,37
2023-08-03,1.7919877887287061,1.7956427671116633,3.161284825324313,42
2023-08-04,1.765895203674923,1.7760076881593139,3.4617684405297178,39
2023-08-05,0.7011487292802224,0.6903024099147922,2.2677255789157647,47
2023-08-06,0.8952010639402315,0.8690171956505146,2.1655187142655308,46
2023-08-08,0.5840120395903623,0.7254490383881759,1.6917344178588767,6
2023-08-11,0.328331417600124,0.8207051413284294,1.43949795473854,2
2023-08-12,1.3476193112733217,1.3132713152708257,2.508367380812744,20
2023-08-13,1.9064859713622804,1.3992969953968777,3.1127957696519726,3
2023-08-14,2.981214740610193,3.034658032847762,3.9526460075845105,33
2023-08-15,3.3613250320224193,2.979950475572124,4.077701674360075,1
2023-08-17,1.6595711393188786,1.5138344278118498,3.1686344922280574,32
2023-08-22,0.3129129685266445,0.19175697152813637,1.2194361823278,32
2023-08-23,1.3221463788089958,1.032612073075879,1.9346995136816547,6
2023-08-25,1.1875593296342677,0.7163219501298042,1.9655740511877084,11
2023-08-26,1.0309793946794112,1.1460909611431043,1.55245234918024,15
2023-08-27,0.5874148718757211,0.4468995063744826,1.2734371026378488,22
2023-08-28,-0.2689404398466172,-0.48905686819508254,0.8302805354894094,24
2023-08-29,-1.615981849327579,-1.7551586005033033,-0.23160929458696966,34
2023-08-30,-1.8745875381030075,-2.144759120887243,-0.629785508271401,20
2023-09-02,-0.2016114782520494,0.38610934271364816,0.48959715384257585,2
2023-09-03,1.2930313676453609,1.665427021446978,2.489397118280796,20
2023-09-05,0.5634230599571177,0.2943140666949298,2.392367555317927,24
2023-09-06,0.02236789873772995,0.0502361167012651,1.522016456337778,46
2023-09-07,0.9524690722587963,0.7894093328922129,2.0918198931479015,35
2023-09-08,2.290493279679356,2.9173858862171635,2.8860945219850898,1
2023-09-09,0.2167383914928,0.23113995981915103,1.3499736778381966,22
2023-09-10,1.0358348754390339,1.300955995972628,2.093132807137872,5
2023-09-12,-0.22010251214701776,0.43747743170338044,0.8202792121942037,2
2023-09-13,0.872452523788303,0.42116842728785603,2.145005996,8
2023-10-12,1.7037458666659442,2.4796640822848386,2.7183518805723628,2
2023-10-15,0.5784226807604194,0.6492608098642122,1.8454748549988809,47
2023-10-16,-0.07892579342597593,-0.3546911661161929,0.9183010749307563,22
2023-10-17,-0.5662005045766089,-0.34288354008017013,0.45685094577553986,2
2023-10-18,-0.9758111701783417,-0.7316320851242062,0.33421593964035434,37
2023-10-19,1.1272733426164456,1.203162249313787,2.7656036920412808,47
2023-10-20,-0.3396988052412292,-0.26726513828892445,1.1165546993388187,46
2023-10-21,-0.42231568072354814,-0.3126648819857127,0.8252959236424617,43
2023-10-22,-0.8897984712337569,-0.8111228529668544,0.4474061756463321,47
2023-10-23,-0.8616601206807537,-1.0694704375082458,0.4418659259701929,23
2023-10-24,-1.3924983677909653,-1.3502191914041919,-0.1966251403387842,5
2023-10-25,-1.9776948591699546,-1.2171629463327773,-0.8872221547655368,6
2023-10-26,-1.2793702021649096,-1.2000229340103494,-0.07937693409563629,48
2023-10-27,0.3372982703844941,0.4352738976188275,1.4117248658453052,45
2023-10-28,1.34035715714956,1.4124914140805025,2.7360694055069867,47
2023-10-30,4.905651414745107,4.92606335071476,6.657684831655981,41
2023-10-31,4.100829003309637,4.085486125735336,6.286352795015011,38
2023-11-01,2.5547896117178253,2.413864578931221,4.955922722469603,31
2023-11-02,1.6336009207733,1.7239985725042497,3.727307948893217,47
2023-11-03,0.6721022705104476,0.7604872089393993,2.7510444623152397,47
2023-11-04,1.4255394061640208,1.345706780590839,3.2348245240986406,37
2023-11-05,1.6330712391548405,1.56972420481026,2.7849486887786723,31
2023-11-06,1.741570367247224,1.8280496378838385,2.9613103554366926,47
2023-11-07,2.47933447330416,2.5627253444525717,4.0280721400122355,48
2023-11-08,2.785093971418558,2.8787012425069496,4.552344906301871,46
2023-11-09,1.7500314532227232,1.8339788862989124,3.8257543117820214,46
2023-11-10,-0.18789151997845008,-0.10497919737831593,2.290973691079685,47
2023-11-11,-1.2310149173535305,-1.14534324782648,0.8448181097116159,47
2023-11-12,-1.6157087990639343,-1.5320247950066432,0.2967928401039943,48
2023-11-13,-1.5510376469914298,-1.4882582018963464,-0.2401469835032577,46
2023-11-14,-2.794828504900555,-2.0958950708933255,-1.9502085023303906,4
2023-11-15,-2.263012431589617,-1.9473322288390988,-0.9907232594040627,1
2023-11-17,-1.6246815409964583,-2.0122369697922915,-0.486551714344845,5
2023-11-19,-0.9540425764042182,-1.007323432442671,0.12580841519429065,39
2023-11-20,-0.515629660365981,-0.30868461911340417,0.5357362396199061,36
2023-11-21,1.4171038124730142,1.4741906695250333,2.555470787958831,46
2023-11-22,3.5349321377945997,3.5989299883026367,4.677180382698616,37
2023-11-24,7.963377612633554,7.921759774124294,9.120264235536041,5
2023-11-26,7.629996236631833,7.200492291954812,9.720106548526859,3
2023-11-27,5.839163255922513,5.98864231579956,8.332524077748221,5
2023-11-28,1.4301216466475377,1.4594514185979508,3.9994304794372004,6
2023-11-29,0.6761530966347522,0.905191423235385,2.939052001510918,17
2023-12-02,-1.2272016134781485,-1.099507655917448,0.4317029177685239,37
2023-12-03,0.7149163400046334,0.9133105953994061,1.9333419754911274,30
2023-12-04,2.4061168339912853,1.7599825671914844,3.4520887428730784,4
2023-12-06,0.400917109938261,0.4397196353804487,2.107584872656072,41
2023-12-07,-1.9381354126310384,-1.6046258798119941,0.2454479443385793,24
2023-12-08,-0.2257356977000417,-0.20469772247861645,1.8343561432751132,43
2023-12-09,-1.6372296088274199,-1.598665302285622,0.006535046558027169,44
2023-12-10,-1.2671176107056836,-1.224516975845107,0.31857439348383476,41
2023-12-12,-0.2192514453421411,-0.2648184910042507,1.1474752629888796,21
2023-12-14,-1.1829601880318101,-1.1673290326295185,0.45280327879972493,42
2023-12-15,-0.925147438769633,-0.9039883216488541,0.48743568286448546,41
2023-12-17,-0.18130864508472702,-0.14558097148344595,1.3564027838447634,43
2023-12-20,4.6628437997098695,5.131281343108783,5.614327580933738,14
2023-12-24,3.388141708796403,3.3645998525098713,6.067395463823306,19
2023-12-25,1.9563279042846622,1.9865146273185446,4.270511898910829,42
2023-12-26,0.33011370661863204,0.26393497200594873,2.889945648077892,32
2023-12-28,-0.6507053400422147,-0.6386466364431194,0.8973342580193178,19
2023-12-29,-0.022024339848503917,-0.41655059869302674,1.5762907229442025,17
2023-12-30,-0.43870616752593394,-0.10753577291488496,1.0734828898968551,23
2023-12-31,1.0271763749486187,0.5117715126874125,2.5720654948755595,7
2024-01-03,-0.033022764126250936,-0.2943764491502575,1.6223824144679,15
2024-01-05,1.2783820593596347,0.9960924569787155,2.586321134196785,19
2024-01-06,1.308707894985539,1.4770193732453747,2.7947200155882435,34
2024-01-08,1.8576754262593953,1.8817255296087279,4.143405269669294,44
2024-01-09,1.3275417480964968,1.3426312765657673,3.3208219752263357,45
2024-01-10,2.1118793555889486,2.15264849151134,3.930585176480834,42
2024-01-12,2.411589549263759,2.40947777537652,4.11857429689257,36
2024-01-13,2.21055017810028,2.2295823035590208,3.9751247379244026,44
2024-01-14,1.0845310158939157,1.127894105017276,2.7143894727792617,42
2024-01-15,1.917460663455646,1.8775530588116618,3.7793514213840984,41
2024-01-16,1.9100568034463887,2.2199362822326134,3.678964304258532,23
2024-01-17,1.962114943075314,1.8000995510414544,3.4882538401857133,20
2024-01-18,2.6973749673922263,2.689215808016603,4.233865975007207,45
2024-01-26,-2.3812361412230705,-2.512905977405188,-0.4758741872257044,21
2024-01-27,-1.1095269910571814,-1.2452784405357917,0.42826685096277295,38
2024-01-28,-0.5308609774017561,-1.2173924917180496,1.1449480567168502,1
2024-01-30,0.5302846901519879,0.6223308953154792,1.8398937929277226,2
2024-01-31,1.725584641287813,1.5179097322603683,2.8379720127932506,24
2024-02-01,0.6915290530930384,0.7971364271334686,2.0831331353695814,27
2024-02-03,0.10174778807515548,0.2081458814260812,2.0772072896980864,21
2024-02-04,-0.8345718715107,-0.7749099646872029,0.7205940999842797,36
2024-02-09,4.121048628642013,3.9282618959218376,5.520771627744354,12
2024-02-11,1.7726826886723897,1.9454741413495356,4.068449583130702,29
2024-02-12,2.2539441699816387,2.1689807308208002,4.6888063030669125,42
2024-02-13,0.181998399466406,0.11715435833087795,2.864168879557334,44
2024-02-14,1.179209126012069,1.137627650085044,3.552793758272572,47
2024-02-15,1.1420149370320303,1.1026737333968288,3.4078441719257624,47
2024-02-16,0.9351602943092433,0.888610179277011,2.86046340903769,46
2024-02-17,0.40479688176783496,0.4076001729972666,2.168657661659652,27
2024-02-18,-0.9780011918676923,-0.8960751270836876,1.0378054860189678,24
2024-02-19,-0.057824672162944894,-0.5027452251855975,1.7684211590795096,3
2024-02-20,-1.5811482796907317,-1.5401860181566942,0.10265134916078278,21
2024-02-23,1.8172068091903264,2.297045623144296,2.800224761127197,2
2024-03-01,-1.0166928452558117,-1.0383278533536076,1.2780667140484159,46
2024-03-02,-1.9639738541682756,-1.9661880316697418,0.35130784856964414,43
2024-03-03,-1.220337768655074,-1.254355202884246,0.5297394538277445,46
2024-03-04,-1.103096035493812,-1.1182361996492014,0.5077414319958518,47
2024-03-09,1.654892424715148,1.5370016238690292,3.8554697108757097,12
2024-03-10,0.1502035933943084,0.13354635614775173,2.4253882508956837,48
2024-03-11,-1.1340488197631111,-0.7941371353568621,1.0188546122195286,2
2024-03-12,-0.6062213790515978,-1.0391579057147449,1.3132359378361835,1
2024-03-13,0.5023204336468623,0.3157000534425282,2.1757779223857865,7
2024-03-14,-0.2813842752858252,-0.3338921117268078,1.2220520026406012,3
2024-03-16,-2.5318058036923317,-2.170296963815362,-0.8337828333861808,6
2024-03-17,-1.5447238868137545,-1.2975006077132594,-0.054575693181884155,5
2024-03-18,-1.9676036230286003,-1.8845889369542554,-0.4000180724002922,18
2024-03-19,-0.6886445818957365,-0.8113895111409655,0.9785252888724516,33
2024-03-21,3.042514284701492,3.0233906045144034,4.11313335246934,46
2024-03-25,2.589504469843158,2.871667954352294,5.598627825103137,1
2024-03-27,-1.0106170380363846,-1.006970150503669,2.0870601361692342,43
2024-03-28,-2.541467233349481,-2.880655481906877,0.3318532690743847,1
2024-03-29,-2.8356365365113056,-2.8319691556892805,-0.8130666134333708,48
2024-04-02,0.21101341832387152,0.13579837531710132,1.3476380414014955,6
2024-04-03,0.09747065812461171,0.1076068192887245,1.5495859104620768,47
2024-04-04,0.22092685107435386,0.22476994063744854,1.7208153411362348,46
2024-04-05,0.1869750313595567,0.1775507941440438,1.7791490701046975,45
2024-04-06,1.332471499924027,1.443552897026994,3.062009029349295,30
2024-04-07,-0.9571635115549176,-1.0249835728104477,0.646607036247655,34
2024-04-10,-0.8086615433296092,-0.796620316377993,0.8447043333557236,46
2024-04-11,-0.682358843541373,-0.6721149246141008,0.9402235166851192,46
2024-04-12,-0.8827260204757876,-0.8693303066692786,0.8485981150033917,46
2024-04-13,-2.0410136281173643,-2.2498001873001434,-0.21804356150377124,12
2024-04-14,-1.2708614385944246,-1.2212938231672896,0.40416196085126366,42
2024-04-15,2.1746802437275683,2.1914198765850834,3.7690358419331282,48
2024-04-16,3.875041516336463,3.750973160654402,5.4869691975357915,11
2024-04-19,9.7086202727204,9.726954042342298,11.666579867920763,48
2024-04-22,2.6162588844882055,2.5588586649809204,6.151059255025033,34
2024-04-23,2.0584641511920503,2.0669412863526926,5.1774637911852395,43
2024-04-26,-0.15803847686285188,-0.14194399287687337,1.8503623368445643,44
2024-04-27,0.821451976925162,0.9278776551640329,2.760029606546217,14
2024-04-28,-0.7013456047743674,-0.6845188154151061,1.463291907796389,47
2024-04-29,-2.1536574005003035,-2.134284126611123,-0.10866023249010315,45
2024-04-30,-2.5535664150962964,-2.5327227115263473,-0.9354986722511605,48
2024-05-01,-1.4759641426189472,-1.4591169686900043,0.06326940719227458,44
